Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_57_205,VPWR,li1,102.5800,165.9200,1.800000
FILLER_0_57_193,VPWR,li1,97.0600,165.9200,1.800000
FILLER_0_57_181,VPWR,li1,91.5400,165.9200,1.800000
FILLER_0_57_169,VPWR,li1,86.0200,165.9200,1.800000
FILLER_0_57_167,VPWR,li1,82.5700,165.9200,1.800000
FILLER_0_57_161,VPWR,li1,80.9600,165.9200,1.800000
FILLER_0_57_149,VPWR,li1,76.8200,165.9200,1.800000
FILLER_0_57_137,VPWR,li1,71.3000,165.9200,1.800000
FILLER_0_57_125,VPWR,li1,65.7800,165.9200,1.800000
FILLER_0_57_113,VPWR,li1,60.2600,165.9200,1.800000
FILLER_0_57_111,VPWR,li1,56.8100,165.9200,1.800000
FILLER_0_57_105,VPWR,li1,55.2000,165.9200,1.800000
FILLER_0_57_93,VPWR,li1,51.0600,165.9200,1.800000
FILLER_0_57_81,VPWR,li1,45.5400,165.9200,1.800000
FILLER_0_57_69,VPWR,li1,40.0200,165.9200,1.800000
FILLER_0_57_57,VPWR,li1,34.5000,165.9200,1.800000
FILLER_0_57_54,VPWR,li1,30.8200,165.9200,1.800000
FILLER_0_57_42,VPWR,li1,27.6000,165.9200,1.800000
FILLER_0_57_30,VPWR,li1,22.0800,165.9200,1.800000
FILLER_0_57_18,VPWR,li1,16.5600,165.9200,1.799999
FILLER_0_57_6,VPWR,li1,11.0400,165.9200,1.799999
FILLER_0_56_297,VPWR,li1,142.6000,165.9200,1.800000
FILLER_0_56_289,VPWR,li1,140.3000,165.9200,1.800000
FILLER_0_56_277,VPWR,li1,135.7000,165.9200,1.800000
FILLER_0_56_265,VPWR,li1,130.1800,165.9200,1.800000
FILLER_0_56_253,VPWR,li1,124.6600,165.9200,1.800000
FILLER_0_56_251,VPWR,li1,121.2100,165.9200,1.800000
FILLER_0_56_245,VPWR,li1,119.6000,165.9200,1.800000
FILLER_0_56_233,VPWR,li1,115.4600,165.9200,1.800000
FILLER_0_56_221,VPWR,li1,109.9400,165.9200,1.800000
FILLER_0_56_209,VPWR,li1,104.4200,165.9200,1.800000
FILLER_0_56_197,VPWR,li1,98.9000,165.9200,1.800000
FILLER_0_56_195,VPWR,li1,95.4500,165.9200,1.800000
FILLER_0_56_189,VPWR,li1,93.8400,165.9200,1.800000
FILLER_0_56_177,VPWR,li1,89.7000,165.9200,1.800000
FILLER_0_56_165,VPWR,li1,84.1800,165.9200,1.800000
FILLER_0_56_153,VPWR,li1,78.6600,165.9200,1.800000
FILLER_0_56_141,VPWR,li1,73.1400,165.9200,1.800000
FILLER_0_56_139,VPWR,li1,69.6900,165.9200,1.800000
FILLER_0_56_133,VPWR,li1,68.0800,165.9200,1.800000
FILLER_0_56_121,VPWR,li1,63.9400,165.9200,1.800000
FILLER_0_56_109,VPWR,li1,58.4200,165.9200,1.800000
FILLER_0_56_97,VPWR,li1,52.9000,165.9200,1.800000
FILLER_0_56_85,VPWR,li1,47.3800,165.9200,1.800000
FILLER_0_56_83,VPWR,li1,43.9300,165.9200,1.800000
FILLER_0_56_77,VPWR,li1,42.3200,165.9200,1.800000
FILLER_0_56_65,VPWR,li1,38.1800,165.9200,1.800000
FILLER_0_56_53,VPWR,li1,32.6600,165.9200,1.800000
FILLER_0_56_41,VPWR,li1,27.1400,165.9200,1.800000
FILLER_0_56_29,VPWR,li1,21.6200,165.9200,1.800000
FILLER_0_56_26,VPWR,li1,17.9400,165.9200,1.799999
FILLER_0_56_18,VPWR,li1,15.6400,165.9200,1.799999
FILLER_0_56_6,VPWR,li1,11.0400,165.9200,1.799999
FILLER_0_55_293,VPWR,li1,141.6800,160.4800,1.799988
FILLER_0_55_281,VPWR,li1,137.5400,160.4800,1.799988
FILLER_0_55_279,VPWR,li1,134.0900,160.4800,1.799988
FILLER_0_55_273,VPWR,li1,132.4800,160.4800,1.799988
FILLER_0_55_261,VPWR,li1,128.3400,160.4800,1.799988
FILLER_0_55_249,VPWR,li1,122.8200,160.4800,1.799989
FILLER_0_55_237,VPWR,li1,117.3000,160.4800,1.799989
FILLER_0_55_225,VPWR,li1,111.7800,160.4800,1.799989
FILLER_0_55_223,VPWR,li1,108.3300,160.4800,1.799989
FILLER_0_55_217,VPWR,li1,106.7200,160.4800,1.799989
FILLER_0_55_205,VPWR,li1,102.5800,160.4800,1.799989
FILLER_0_55_193,VPWR,li1,97.0600,160.4800,1.799989
FILLER_0_55_181,VPWR,li1,91.5400,160.4800,1.799989
FILLER_0_55_169,VPWR,li1,86.0200,160.4800,1.799990
FILLER_0_55_167,VPWR,li1,82.5700,160.4800,1.799990
FILLER_0_55_161,VPWR,li1,80.9600,160.4800,1.799990
FILLER_0_55_149,VPWR,li1,76.8200,160.4800,1.799991
FILLER_0_55_137,VPWR,li1,71.3000,160.4800,1.799991
FILLER_0_55_125,VPWR,li1,65.7800,160.4800,1.799991
FILLER_0_55_113,VPWR,li1,60.2600,160.4800,1.799992
FILLER_0_55_111,VPWR,li1,56.8100,160.4800,1.799992
FILLER_0_55_105,VPWR,li1,55.2000,160.4800,1.799992
FILLER_0_55_93,VPWR,li1,51.0600,160.4800,1.799993
FILLER_0_55_81,VPWR,li1,45.5400,160.4800,1.799993
FILLER_0_55_69,VPWR,li1,40.0200,160.4800,1.799994
FILLER_0_55_57,VPWR,li1,34.5000,160.4800,1.799994
FILLER_0_55_55,VPWR,li1,31.0500,160.4800,1.799994
FILLER_0_55_43,VPWR,li1,28.0600,160.4800,1.799995
FILLER_0_55_31,VPWR,li1,22.5400,160.4800,1.799995
FILLER_0_55_19,VPWR,li1,17.0200,160.4800,1.799993
FILLER_0_55_7,VPWR,li1,11.5000,160.4800,1.799991
FILLER_0_54_295,VPWR,li1,141.4500,160.4800,1.799988
FILLER_0_54_289,VPWR,li1,139.8400,160.4800,1.799988
FILLER_0_54_277,VPWR,li1,135.7000,160.4800,1.799988
FILLER_0_54_265,VPWR,li1,130.1800,160.4800,1.799988
FILLER_0_54_253,VPWR,li1,124.6600,160.4800,1.799988
FILLER_0_54_251,VPWR,li1,121.2100,160.4800,1.799989
FILLER_0_54_245,VPWR,li1,119.6000,160.4800,1.799989
FILLER_0_54_233,VPWR,li1,115.4600,160.4800,1.799989
FILLER_0_54_221,VPWR,li1,109.9400,160.4800,1.799989
FILLER_0_54_209,VPWR,li1,104.4200,160.4800,1.799989
FILLER_0_54_197,VPWR,li1,98.9000,160.4800,1.799989
FILLER_0_54_195,VPWR,li1,95.4500,160.4800,1.799989
FILLER_0_54_187,VPWR,li1,93.3800,160.4800,1.799989
FILLER_0_54_177,VPWR,li1,87.8600,160.4800,1.799990
FILLER_0_54_165,VPWR,li1,84.1800,160.4800,1.799990
FILLER_0_54_153,VPWR,li1,78.6600,160.4800,1.799990
FILLER_0_54_141,VPWR,li1,73.1400,160.4800,1.799991
FILLER_0_54_139,VPWR,li1,69.6900,160.4800,1.799991
FILLER_0_54_133,VPWR,li1,68.0800,160.4800,1.799991
FILLER_0_54_121,VPWR,li1,63.9400,160.4800,1.799992
FILLER_0_54_109,VPWR,li1,58.4200,160.4800,1.799992
FILLER_0_54_97,VPWR,li1,52.9000,160.4800,1.799993
FILLER_0_54_85,VPWR,li1,47.3800,160.4800,1.799993
FILLER_0_54_83,VPWR,li1,43.9300,160.4800,1.799993
FILLER_0_54_77,VPWR,li1,42.3200,160.4800,1.799993
FILLER_0_54_65,VPWR,li1,38.1800,160.4800,1.799994
FILLER_0_54_53,VPWR,li1,32.6600,160.4800,1.799994
FILLER_0_54_41,VPWR,li1,27.1400,160.4800,1.799995
FILLER_0_54_29,VPWR,li1,21.6200,160.4800,1.799995
FILLER_0_54_25,VPWR,li1,17.7100,160.4800,1.799993
FILLER_0_54_17,VPWR,li1,15.1800,160.4800,1.799993
FILLER_0_54_7,VPWR,li1,9.4300,160.4800,1.799991
FILLER_0_53_293,VPWR,li1,141.6800,155.0400,1.799970
FILLER_0_53_281,VPWR,li1,137.5400,155.0400,1.799970
FILLER_0_53_279,VPWR,li1,134.0900,155.0400,1.799970
FILLER_0_53_273,VPWR,li1,132.4800,155.0400,1.799970
FILLER_0_53_261,VPWR,li1,128.3400,155.0400,1.799970
FILLER_0_53_249,VPWR,li1,122.8200,155.0400,1.799970
FILLER_0_53_237,VPWR,li1,117.3000,155.0400,1.799971
FILLER_0_53_225,VPWR,li1,111.7800,155.0400,1.799971
FILLER_0_53_223,VPWR,li1,108.3300,155.0400,1.799971
FILLER_0_53_215,VPWR,li1,106.2600,155.0400,1.799972
FILLER_0_53_203,VPWR,li1,101.6600,155.0400,1.799972
FILLER_0_53_193,VPWR,li1,94.9900,155.0400,1.799973
FILLER_0_53_181,VPWR,li1,91.5400,155.0400,1.799974
FILLER_0_53_169,VPWR,li1,86.0200,155.0400,1.799976
FILLER_0_53_167,VPWR,li1,82.5700,155.0400,1.799977
FILLER_0_53_161,VPWR,li1,80.9600,155.0400,1.799977
FILLER_0_53_149,VPWR,li1,76.8200,155.0400,1.799978
FILLER_0_53_137,VPWR,li1,71.3000,155.0400,1.799980
FILLER_0_53_125,VPWR,li1,65.7800,155.0400,1.799982
FILLER_0_53_113,VPWR,li1,60.2600,155.0400,1.799983
FILLER_0_53_111,VPWR,li1,56.8100,155.0400,1.799985
FILLER_0_53_105,VPWR,li1,55.2000,155.0400,1.799985
FILLER_0_53_93,VPWR,li1,51.0600,155.0400,1.799986
FILLER_0_53_81,VPWR,li1,45.5400,155.0400,1.799988
FILLER_0_53_69,VPWR,li1,40.0200,155.0400,1.799989
FILLER_0_53_57,VPWR,li1,34.5000,155.0400,1.799991
FILLER_0_53_52,VPWR,li1,30.3600,155.0400,1.799992
FILLER_0_53_40,VPWR,li1,26.6800,155.0400,1.799993
FILLER_0_53_28,VPWR,li1,21.1600,155.0400,1.799995
FILLER_0_53_20,VPWR,li1,14.9500,155.0400,1.799994
FILLER_0_53_14,VPWR,li1,13.3400,155.0400,1.799993
FILLER_0_53_3,VPWR,li1,7.8200,155.0400,1.799993
FILLER_0_52_294,VPWR,li1,141.2200,155.0400,1.799970
FILLER_0_52_282,VPWR,li1,138.0000,155.0400,1.799970
FILLER_0_52_270,VPWR,li1,132.4800,155.0400,1.799970
FILLER_0_52_258,VPWR,li1,126.9600,155.0400,1.799970
FILLER_0_52_246,VPWR,li1,119.3700,155.0400,1.799970
FILLER_0_52_234,VPWR,li1,115.9200,155.0400,1.799971
FILLER_0_52_222,VPWR,li1,110.4000,155.0400,1.799971
FILLER_0_52_210,VPWR,li1,104.8800,155.0400,1.799972
FILLER_0_52_197,VPWR,li1,96.3700,155.0400,1.799973
FILLER_0_52_195,VPWR,li1,95.4500,155.0400,1.799973
FILLER_0_52_189,VPWR,li1,93.8400,155.0400,1.799973
FILLER_0_52_177,VPWR,li1,89.7000,155.0400,1.799974
FILLER_0_52_165,VPWR,li1,84.1800,155.0400,1.799976
FILLER_0_52_153,VPWR,li1,78.6600,155.0400,1.799978
FILLER_0_52_141,VPWR,li1,73.1400,155.0400,1.799979
FILLER_0_52_139,VPWR,li1,69.6900,155.0400,1.799981
FILLER_0_52_133,VPWR,li1,68.0800,155.0400,1.799981
FILLER_0_52_121,VPWR,li1,63.9400,155.0400,1.799982
FILLER_0_52_109,VPWR,li1,58.4200,155.0400,1.799984
FILLER_0_52_97,VPWR,li1,52.9000,155.0400,1.799985
FILLER_0_52_85,VPWR,li1,47.3800,155.0400,1.799987
FILLER_0_52_83,VPWR,li1,43.9300,155.0400,1.799989
FILLER_0_52_77,VPWR,li1,42.3200,155.0400,1.799989
FILLER_0_52_65,VPWR,li1,38.1800,155.0400,1.799990
FILLER_0_52_53,VPWR,li1,32.6600,155.0400,1.799991
